"primary_key","observed_on","user_id","created_at","updated_at","latitude","longitude","species_guess","scientific_name","common_name","county_names"
1,"2012-10-13",1000,"2012-10-15 00:32:47 +0100","2024-10-28 16:30:20 +0100",39.96373088,-74.47692823,"pitch pine","Pinus rigida","pitch pine","Ocean"
2,"2013-08-31",19073,"2013-09-02 04:11:00 +0100","2015-03-23 14:17:55 +0100",39.449838,-75.067798,"shortleaf pine","Pinus echinata","shortleaf pine","Cumberland"
3,"2005-06-07",3773,"2014-01-27 06:06:16 +0100","2022-03-12 19:26:28 +0100",39.67506,-74.35648,"pitch pine","Pinus rigida","pitch pine","Ocean"
4,"2014-07-01",35078,"2014-07-02 02:26:41 +0100","2015-03-23 14:32:25 +0100",40.593615,-74.567762,"eastern white pine","Pinus strobus","eastern white pine","Somerset"
5,"2014-07-02",35078,"2014-07-03 12:39:01 +0100","2022-01-13 03:56:43 +0100",39.984897,-74.125893,"Pitch Pine","Pinus rigida","pitch pine","Ocean"
6,"2015-01-17",35078,"2015-01-19 22:07:49 +0100","2017-02-03 02:14:05 +0100",40.622803,-74.605033,"Eastern White Pine","Pinus strobus","eastern white pine","Somerset"
7,"2015-03-01",77301,"2015-03-01 18:37:38 +0100","2025-01-01 22:08:13 +0100",40.59893297,-74.4044836,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
8,"2015-03-03",65522,"2015-03-03 20:01:07 +0100","2015-05-01 05:23:26 +0100",39.91961667,-74.59236167,"Pitch Pine","Pinus rigida","pitch pine","Burlington"
9,"2015-03-03",73716,"2015-03-03 20:41:57 +0100","2015-04-07 04:13:36 +0100",39.916799,-74.597275,"Pitch pine","Pinus rigida","pitch pine","Burlington"
10,"2015-03-03",77467,"2015-03-03 22:54:20 +0100","2016-03-25 03:07:45 +0100",41.005375,-74.290704,"Eastern White Pine","Pinus strobus","eastern white pine","Passaic"
11,"2015-03-04",77467,"2015-03-04 15:17:20 +0100","2023-10-13 23:45:56 +0100",40.759823,-74.417097,"Scots pine","Pinus sylvestris","Scots pine","Morris"
12,"2015-03-04",77237,"2015-03-04 20:19:18 +0100","2017-06-23 09:34:50 +0100",40.47925333,-74.43666167,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
13,"2015-03-04",78894,"2015-03-04 23:07:16 +0100","2015-04-01 02:50:21 +0100",40.669611,-74.526256,"Eastern White Pine","Pinus strobus","eastern white pine","Morris"
14,"2015-03-04",75723,"2015-03-04 23:30:42 +0100","2025-01-01 22:11:23 +0100",40.47436,-74.438709,"Eastern White Pine","Pinus strobus","eastern white pine","Middlesex"
15,"2015-03-06",76384,"2015-03-07 06:20:49 +0100","2023-07-23 05:44:52 +0100",40.8459608,-74.04649097,"eastern white pine","Pinus strobus","eastern white pine","Bergen"
