sales_year,Total_Sales
2020,9518479.25
2023,6457770.06
2024,4909097.93
2022,3762937.5
2021,2948815.17
2019,2291765
2008,1629879.05
2000,1186834.1
2010,1070838.85
1999,1069996.18
1995,1066048.51
2004,965034.8300000001
2009,889141.05
2017,873918.5
2005,856523.5
2006,829905.16
2003,789367.3200000001
1996,762857.13
2018,753518.5
1997,731482.5
1992,698360.25
2001,675160.5
2012,674487.2
1994,662371.5
2011,569052.75
1998,543028.5
2002,519251.25
1993,506441.25
2016,499723
2007,489289.5
1991,326182.5
2015,146937
