County_ID,SP01,SP02,SP03,SP04,SP05,SP06,SP07,SP08,Total
Co01,5,3,21,17,1,2,3,0,52
Co02,7,7,8,9,0,3,16,0,50
Co03,16,1,15,12,0,0,5,1,50
Co04,7,14,5,8,0,0,5,0,39
Co05,3,16,5,24,0,5,4,0,57
Co06,21,20,13,17,0,0,2,1,74
Co07,13,6,16,15,0,18,0,0,68
Co08,2,0,0,18,0,0,0,5,25
Co09,13,5,16,19,0,0,1,1,55
Co10,24,0,0,14,11,0,0,1,50
Co11,21,1,1,14,22,0,0,2,61
Co12,1,10,4,23,0,0,0,1,39
Co13,9,8,3,12,0,0,2,0,34
Co14,16,0,0,18,0,0,0,1,35
Co15,1,1,0,23,1,0,0,1,27
Co16,4,1,0,7,3,0,0,0,15
Co17,3,1,0,21,0,0,0,3,28
Co18,1,1,0,23,2,0,1,0,28
Co19,4,0,0,5,0,0,0,0,9
Co20,0,1,0,13,3,0,0,0,17
Co21,2,0,0,24,1,0,0,0,27
